北海道	124686
福島県	115025
新潟県	70186
青森県	65074
静岡県	64702
秋田県	62878
鹿児島県	58065
長野県	53645
兵庫県	53333
茨城県	52794
岩手県	50553
長崎県	49592
岐阜県	48870
山口県	46609
愛媛県	46231
山形県	45033
三重県	38859
和歌山県	38619
奈良県	36412
高知県	36180
群馬県	34953
栃木県	33428
熊本県	31256
宮崎県	31164
大分県	30191
徳島県	29758
山梨県	28145
富山県	26919
大阪府	25776
京都府	25739
岡山県	23751
島根県	23045
香川県	19579
福井県	19574
佐賀県	16956
広島県	16760
石川県	15780
鳥取県	15226
宮城県	14266
滋賀県	-2139
千葉県	-6377
福岡県	-29588
沖縄県	-40748
埼玉県	-71978
愛知県	-72409
神奈川県	-77912
東京都	-355854
